taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Achillea millefolium,perennial;perennials;chamaephyte;Perennials,"Woodland fringes and clearings and tall forb habitats;Pastures, meadows, roadsides, stream sides, woodlands, waste grounds, dry or sandy soils, also in damp, clayey, and salty soils;Regularly or recently cultivated agricultural. horticultural and domestic habitats;Alpine and subalpine grasslands;Dry heaths;Grassland and tall forb habitats;Dry grasslands;Coniferous woodland",Stem erect ,stoloniferous;epigeogeneous stems;hypogeogeneous stems;rhizomatous;stolons;Rhizome far creeping,stems;stoloniferous;rhizomatous;stolons;Stems,0.08;0.45;0.06-0.65;0.316; 0.475,woolly;furrowed;soft hairs,soft hairs,,pinnate;pinnately,sessile,basal,subulate;lanceolate;lobed;compound;pinnate;oblong;linear,lobed;acute,,lobed and toothed;linear,glabrate,0.5;5,15;3.5,3.5;5,15;35,corymbs,,,,,,white,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,bird;water;   sheep;   cattle;   horse;   commerce,,,,10-100,,,,,,,18,adventitious,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'text': 14, 'tabular': 1}}"
Achillea ptarmica,Perennials;perennials;hemicryptophyte,"Roadsides, disturbed sites, open fields and pastures, in sandy or gravelly soils or in moist to drying silty soils;Raised bogs;Bare tilled. fallow or recently abandoned arable land",Stem erect ,Rhizome shortly creeping;hypogeogeneous stems;rhizomatous,Stems;rhizomatous,0.6;0.3-0.6;0.2;0.775,glabrous,glabrous,,,sessile,,lanceolate;linear;simple,acute,,toothed;serrulate;linear,glabrous;soft hairs,0.3,0.5,0.3,1,,,,,,,white,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   commerce;   standing fresh water,,,,,,,,,,,18,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 0, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}"
Agrostis canina,perennial;perennials;hemicryptophyte,,Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;stoloniferous;rhizomes;epigeogeneous stems;rhizomatous;Far creeping stolons in illuminated medium;stolons,stoloniferous;rhizomes;stolons;rhizomatous,0.6;0.1;0.3;0.7000000000000001,,,,,,cauline;basal,tapering;simple;point;involute;flat,acute,,entire;involute;flat;scabrous,,0.1,15;0.3,0.1;1,15;10,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   rabbit;bird;   sheep;   deer;   hay making machinery;   cattle;domestic animal;   shaken fresh water;   standing fresh water;   hare,awned;awn;hairless;awns;hairs,,,,,,,,,,14,fibrous,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 13, 'tabular': 0}}"
Agrostis capillaris,perennial;perennials;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Mixed taiga woodland with [Betula];Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;stoloniferous;rhizomes;epigeogeneous stems;hypogeogeneous stems;rhizomatous;stolons;Rhizome far creeping,stoloniferous;rhizomes;stolons;rhizomatous,0.25;0.1;0.7000000000000001;0.6,,,,,,cauline;basal,flat;simple,acute,,entire;flat,,0.1,15;0.5,0.1;3,15;10,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   rabbit;bird;water;   pig;   sheep;   deer;   car or other vehicle;   sheep-dummy;   hay making machinery;   seed contamination;   cattle;domestic animal;   horse;   shaken fresh water;   donkey;   mammal;   hare;   wild boar,awned;awn;hairless;awns;awnless;hairs,,,,,,,,,,28,fibrous,,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 12, 'tabular': 0}}"
Agrostis curtisii,perennial;perennials;hemicryptophyte,,Stem erect ,Tussock forming graminoid;epigeogeneous stems,,0.6;0.1-0.6;0.2,,,,,,,simple,acute,,entire,,0.02,20,0.02,20,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,,awn;awned;hairless,,,,,,,,,,,fibrous,,10.0-50.0,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 7, 'tabular': 11}, 'fna': {'tabular': 0}}"
Agrostis stolonifera,perennial;perennials;hemicryptophyte,,"Stem erect ;mat;Stem prostrate ;Emergent, attached to the substrate ",rooting horizontal stems at or above soil surface;stoloniferous;rhizomes;epigeogeneous stems;rhizomatous;Far creeping stolons in illuminated medium;stolons,stoloniferous;rhizomes;stolons;rhizomatous,1.0;0.15;0.08-0.4,,,,,,cauline,flat;pointed;simple,acute,,entire;flat,,0.05;0.2,0.6;10,0.05;2,10,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   pig;   sheep;   deer;   car or other vehicle;   hay making machinery;   cattle;domestic animal;   horse;   shaken fresh water;   donkey;   clothes and footwear,awn;hairs;hairless,,,,,,,,,,28,fibrous,shallow,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 13, 'tabular': 0}}"
Agrostis vinealis,perennial;perennials;hemicryptophyte,Dry. open perennial and annual siliceous grassland. including inland dune grassland,Stem erect ;Stem ascending to prostrate ,stoloniferous;rhizomes;epigeogeneous stems;hypogeogeneous stems;rhizomatous;Rhizomes;creeping;Rhizome far creeping,Rhizomes;rhizomes;stoloniferous;rhizomatous,0.1;0.7000000000000001;0.1-0.6;0.11,,,,,,abaxial;adaxial,involute;flat;pointed;simple,acute,,entire;involute;flat;scabrous,,0.1,0.3,2,15;10,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,domestic animal,awned;awn;awns;bristlelike;awnless;hairs,,,,,,,,,,28,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 10}, 'fna': {'text': 12, 'tabular': 0}}"
Aira caryophyllea,annuals;therophyte;annual,Dry. open perennial and annual siliceous grassland. including inland dune grassland,Stem erect ,Little or no vegetative spread,,0.5;0.03-0.4;0.1;0.11,,,,,,oblique,simple,acute,,entire,glabrous,0.03,0.25;5,0.03;0.3,14;5,,,,,,,green,,,,hermaphrodite,,,,,,,selfed,,,,,,,,,,water;   sheep;   car or other vehicle;   horse;domestic animal,awned;awn;hairless;awns;hair;hairs,,,,,,,,,,14,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 11}, 'fna': {'text': 8, 'tabular': 0}}"
Aira praecox,annuals;therophyte;annual,,Stem erect ,Little or no vegetative spread;epigeogeneous stems,,0.02;0.12;0.02-0.2;0.075; 0.07,,,,,,,involute;simple;obtuse,acute;obtuse,,entire;involute,glabrous,0.03,0.2;5,0.25;0.03,5,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   rabbit;water;   car or other vehicle;   cattle;domestic animal;   clothes and footwear,awned;awn;hairless;awns;hairs,,2,01-Oct,,,,,,,14,fibrous,,0.0-10.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 14}, 'fna': {'text': 8, 'tabular': 0}}"
Ajuga reptans,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats;Disused rural constructions;Broadleaved deciduous woodland;Meso- and eutrophic [Quercus]. [Carpinus]. [Fraxinus]. [Acer]. [Tilia]. [Ulmus] and related woodland,Stem erect ,rooting horizontal stems at or above soil surface;epigeogeneous stems;Far creeping stolons in illuminated medium;adventitious buds on roots;stolons;rhizome,stolons;rhizome;Stems,0.2; 0.185; 0.1;0.1;0.3;0.1-0.3,hairy,hairy,,,,rosette,oblong;simple;obovate;obtuse,obtuse,,crenate;entire,glabrous,4,7,4,7,spike,,,,,cylindrical,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'tabular': 0}}"
